Date,AMAN_gross_nav,AMAN_net_nav
2023-11-02,3192684.2112372327,1545762.990562444
2023-11-03,3224517.326793116,1561052.5624214662
2023-11-06,3205353.0897268155,1551650.8834639417
2023-11-07,3201452.855591862,1549639.7068968732
2023-11-08,3198589.426190213,1548130.6976782463
2023-11-09,3180839.282938711,1539416.6863818543
2023-11-10,3189805.9333928707,1543634.060523468
2023-11-13,3190210.8015948436,1543707.476645321
2023-11-14,3261513.2087461636,1578087.4008851193
2023-11-15,3254916.2990668295,1574770.2325393585
2023-11-16,3269283.8396442127,1581596.4510937706
2023-11-17,3284416.8985778415,1588139.8246373443
2023-11-20,3295032.2942688907,1593146.7272062984
2023-11-21,3300899.69679387,1595857.1736407464
2023-11-22,3302813.3936406802,1596655.7166256253
2023-11-23,3302813.3936406802,1596528.9979179564
2023-11-24,3317358.5303367577,1603433.1837643285
2023-11-27,3319483.194258863,1604332.8757439407
2023-11-28,3336214.075817032,1612291.7171062129
2023-11-29,3339292.344147016,1613651.3917581553
2023-11-30,3338082.0597222904,1612938.4765774359
2023-12-01,3375744.40433006,1631008.6535434148
2023-12-04,3336209.1990500614,1611777.56616445
2023-12-05,3327876.2056953097,1607623.8410889644
2023-12-06,3330730.696168356,1608875.1934949108
2023-12-07,3346318.2787079047,1616276.9263553857
2023-12-08,3338920.5912301345,1612575.5558664724
2023-12-11,3333148.5335817933,1609659.8826229295
2023-12-12,3339553.4841946117,1612625.2409358225
2023-12-13,3396564.4010546347,1640027.0560117944
2023-12-14,3415025.1194626414,1648810.6309236928
2023-12-15,3391865.994542603,1637498.2998775349
2023-12-18,3406219.7930868026,1644278.0951904485
2023-12-19,3430366.8800035906,1655804.07492853
2023-12-20,3397201.2836100045,1639663.9574220525
2023-12-21,3433661.8890319513,1657131.5876330715
2023-12-22,3442378.6831914503,1661206.911805287
2023-12-25,3442378.6831914503,1661075.0699868896
2023-12-26,3461447.3622494754,1670144.5817485987
2023-12-27,3474913.7551865224,1676509.5505145697
2023-12-28,3465229.3163795033,1671704.132440372
2023-12-29,3461155.1027758922,1669605.9657348697
2024-01-01,3461155.1027758922,1669473.4573248907
2024-01-02,3439751.0957477894,1659016.8275873882
2024-01-03,3412154.8647258654,1645575.297804805
2024-01-04,3412238.710787277,1645485.132916988
2024-01-05,3414689.6946151834,1646536.4776947782
2024-01-08,3432596.048385286,1655040.1029595418
2024-01-09,3421628.9048104263,1649620.897827056
2024-01-10,3432137.395784587,1654556.283656949
2024-01-11,3433916.0623361636,1655282.4248260648
2024-01-12,3451189.582522832,1663477.5684316356
